Tour,FED_Taux,Pions_Libres,BTC_Force,BTC_Rois,BTC_Pions,SOL_Force,SOL_Cavaliers,SOL_Pions,PEPE_Force,PEPE_Pions
79300,3.34,1206,290,2,0,342,0,1,5,0
79310,4.48,1203,294,2,2,344,0,2,5,0
79320,3.96,1207,290,2,0,340,0,0,5,0
79330,4.66,1204,270,1,0,440,0,0,5,0
79340,3.64,1203,350,2,0,380,0,0,5,0
79350,3.33,1204,292,2,1,380,0,0,5,0
79360,2.33,1173,390,3,10,446,1,8,9,2
79370,-1.47,1202,372,3,1,420,0,0,5,0
79380,-4.05,1198,334,3,2,442,0,1,7,1
79390,1.76,1196,258,2,4,426,0,3,5,0
79400,-3.47,1191,318,2,4,468,0,4,9,2
79410,3.16,1205,250,2,0,422,0,1,5,0
79420,-2.16,1200,312,2,1,442,1,1,5,0
79430,1.45,1186,370,1,5,432,0,6,9,2
79440,-4.11,1202,250,1,0,440,1,0,7,1
79450,0.37,1183,304,1,7,452,1,6,9,2
79460,4.29,1204,310,1,0,420,0,0,5,0
79470,2.94,1204,172,1,1,442,1,1,5,0
79480,-4.79,1188,200,1,5,450,1,5,7,1
79490,-4.49,1204,172,1,1,382,0,1,7,1
79500,3.27,1206,170,1,0,480,0,0,5,0
79510,3.83,1206,172,1,1,420,0,0,5,0
79520,2.16,1173,276,1,8,496,0,8,11,3
79530,-0.43,1172,334,1,7,498,0,9,13,4
79540,4.94,1204,240,1,0,420,0,0,5,0
79550,4.58,1206,250,1,0,300,0,0,7,1
79560,-2.47,1203,252,1,1,380,0,0,5,0
79570,1.41,1197,254,1,2,440,0,0,5,0
79580,-1.85,1201,254,1,2,344,0,2,5,0
79590,1.89,1187,320,1,5,456,1,3,7,1
79600,-1.95,1201,254,1,2,372,0,1,5,0
79610,0.43,1178,268,1,9,394,2,7,9,2
79620,-5.0,1192,222,1,6,386,2,3,9,2
79630,2.61,1199,256,1,3,372,0,1,5,0
79640,3.1,1205,250,1,0,262,0,1,5,0
79650,1.79,1174,270,1,10,282,0,11,7,1
79660,-3.97,1138,308,1,19,366,2,18,19,7
79670,-1.02,1197,216,1,3,340,1,0,5,0
79680,-0.03,1194,196,1,3,328,0,4,9,2
79690,1.82,1201,244,2,2,266,0,3,7,1
79700,-4.82,1201,214,2,2,296,0,3,7,1
79710,3.78,1205,252,2,1,264,0,2,7,1
79720,-2.73,1190,358,2,4,292,1,6,9,2
79730,3.33,1203,420,2,0,300,0,0,5,0
79740,4.28,1206,350,2,0,300,0,0,5,0
79750,2.19,1201,294,2,2,342,0,1,5,0
79760,3.05,1202,252,1,1,342,0,1,5,0
79770,3.94,1202,256,1,3,380,0,0,5,0
79780,-4.86,1169,370,1,10,482,3,6,11,3
79790,1.37,1137,428,1,19,588,3,14,15,5
79800,2.96,1195,334,1,2,414,0,2,5,0
79810,-4.92,1198,372,1,1,412,0,1,7,1
79820,3.03,1198,272,1,1,440,0,0,5,0
79830,-4.14,1188,386,1,3,408,1,4,13,4
79840,1.23,1180,402,1,6,402,1,6,11,3
79850,4.74,1207,270,1,0,300,0,0,5,0
