Time,Symbol,Price,Action,Kelly_Stake,BTC_Status,Portfolio,XP
16:04:17,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,DOGE,0.090936,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,USDS,0.999748,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,WBT,53.1,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,ADA,0.256049,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,HYPE,39.24,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,BCH,461.62,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,LINK,8.92,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,XMR,323.32,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,USDE,0.999232,ATTENTE,0,INSTABLE,10000.0,0
16:04:17,XLM,0.172543,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,ETH,2067.28,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,USDT,0.999454,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,BNB,626.4,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,USDC,0.999811,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,SOL,87.53,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,TRX,0.310918,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,DOGE,0.090905,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,USDS,0.99981,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,WBT,53.1,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,ADA,0.256017,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,HYPE,39.21,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,BCH,461.47,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,LINK,8.92,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,XMR,323.93,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,USDE,0.99923,ATTENTE,0,INSTABLE,10000.0,0
16:05:19,XLM,0.172516,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,ETH,2067.36,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,USDT,0.999467,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,BNB,626.54,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,USDC,0.999892,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,SOL,87.52,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,TRX,0.310911,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,DOGE,0.090905,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,USDS,0.99981,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,WBT,53.09,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,ADA,0.256056,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,HYPE,39.19,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,BCH,461.51,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,LINK,8.92,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,XMR,324.8,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,USDE,0.999185,ATTENTE,0,INSTABLE,10000.0,0
16:06:21,XLM,0.172505,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,ETH,2067.36,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,USDT,0.999456,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,BNB,626.62,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,USDC,0.999894,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,SOL,87.52,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,TRX,0.310925,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,DOGE,0.090921,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,USDS,0.999807,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,WBT,53.11,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,ADA,0.256099,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,HYPE,39.16,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,BCH,461.52,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,LINK,8.92,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,XMR,324.6,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,USDE,0.999164,ATTENTE,0,INSTABLE,10000.0,0
16:07:23,XLM,0.1726,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,ETH,2067.92,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,USDT,0.999451,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,BNB,626.79,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,XRP,1.36,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,USDC,0.99981,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,SOL,87.52,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,TRX,0.310928,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,FIGR_HELOC,1.024,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,DOGE,0.090936,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,USDS,0.999811,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,WBT,53.11,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,ADA,0.256122,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,HYPE,39.15,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,BCH,461.55,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,LEO,9.52,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,LINK,8.92,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,XMR,324.62,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,USDE,0.999293,ATTENTE,0,INSTABLE,10000.0,0
16:08:25,XLM,0.172638,ATTENTE,0,INSTABLE,10000.0,0
